fid,FRRD_NM,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
391,산불진화3(추경,106,5,1,5,4,313,2.95283018867925,3,1.05849729254917,1,3,2,4,2
392,전환7,83,5,1,5,4,289,3.48192771084337,4,1.27403585831336,2,3,3,5,2
393,전환6,120,5,1,5,4,412,3.43333333333333,4,1.32119474550709,1,5,2,5,3
394,104번 무창,200,5,1,5,4,660,3.3,3,1.1180339887499,1,3,2.5,4,1.5
395,106번 화천,108,5,1,5,4,245,2.26851851851852,2,0.977586611503245,5,2,2,3,1
396,100번 속곡,368,5,1,5,4,954,2.59239130434783,2,1.06941000552846,5,2,2,3,1
397,108번 도계,152,5,1,5,4,396,2.60526315789474,2,1.11306768329245,5,2,2,3,1
398,간선6,314,5,1,5,4,900,2.86624203821656,3,1.20558964298694,5,3,2,4,2
399,산불예방3,238,5,1,5,4,629,2.64285714285714,3,0.992922130755024,5,3,2,3,1
400,78번 노래,164,4,2,5,3,646,3.9390243902439,4,0.915284321754185,2,5,3,5,2
401,산불진화4(추경),112,5,1,5,4,361,3.22321428571429,3,1.0832311241685,1,3,2,4,2
402,전환3,61,5,1,5,4,200,3.27868852459016,3,1.2028810706783,1,3,2,4,2
403,남회룡(마당목),850,5,1,5,4,2899,3.41058823529412,3,1.23083171587458,1,3,3,4,1
404,우련전-갈산(2),101,5,1,5,4,282,2.79207920792079,3,1.14595138980042,5,2,2,4,2
405,우련전-갈산,124,5,1,5,4,348,2.80645161290323,3,1.18918119943011,5,3,2,4,2
406,작은드레박골(1),91,5,1,5,4,299,3.28571428571429,3,1.03015750727543,1,3,2.5,4,1.5
407,작은드레박골(2),119,5,1,5,4,390,3.27731092436975,3,1.02837368341367,1,3,3,4,1
408,동니랑골,66,5,1,5,4,253,3.83333333333333,4,0.914253020699733,1,4,3,5,2
409,전곡(전곡쌍전),194,5,1,5,4,602,3.10309278350515,3,0.913637073859981,5,3,3,4,1
410,전곡_쌍전,91,5,1,5,4,278,3.05494505494505,3,0.998489379481367,1,3,2,4,2
411,원골,62,5,1,5,4,229,3.69354838709677,4,1.10115349604505,1,4,3,5,2
412,105번 오리,132,5,1,5,4,407,3.08333333333333,3,0.945817480844326,1,3,2,4,2
413,작업4,68,5,1,5,4,219,3.22058823529412,3,1.10939289485543,1,3,2,4,2
414,전환1,112,5,1,5,4,371,3.3125,3,1.2608900626145,1,4,2,4,2
415,산불예방2,105,5,1,5,4,346,3.2952380952381,3,1.04127951989307,1,4,2,4,2
416,전환5,81,4,2,5,3,277,3.41975308641975,4,1.05250081412085,5,4,2,4,2
417,전환8,93,5,1,5,4,275,2.95698924731183,3,1.17238822971518,5,3,2,4,2
418,전환9,77,5,1,5,4,250,3.24675324675325,3,1.05874029725656,1,4,3,4,1
419,소광_두천,34,5,1,5,4,135,3.97058823529412,4,1.01417292056275,1,5,3,5,2
420,구산막골,118,5,1,5,4,448,3.79661016949153,4,0.979097838239741,1,4,3,4,1
421,대현,71,5,1,5,4,177,2.49295774647887,2,1.2432719149698,5,2,2,3,1
422,소천,90,5,1,5,4,340,3.77777777777778,4,1.12326684054223,1,5,3,5,2
423,우구치,103,5,1,5,4,384,3.72815533980583,4,0.987240684962032,1,4,3,4,1
424,48번 수하(전환),184,5,1,5,4,642,3.48913043478261,4,1.17948556598971,1,4,3,4,1
425,삼동산,5,3,3,5,2,21,4.2,4,0.748331477354788,3,4,4,5,1
426,석개재,364,5,1,5,4,1268,3.48351648351648,3,1.12526077429539,1,3,3,4,1
427,광평노선,337,5,1,5,4,1156,3.43026706231454,3,1.24768185756566,1,3,3,5,2
428,석개재(3),172,5,1,5,4,533,3.09883720930233,3,1.16967439178667,1,3,2,4,2
429,석개재(2),244,5,1,5,4,701,2.87295081967213,3,1.1144753147062,5,3,2,4,2
